Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
xAE-gaqK7Tc,$0 to $35 MILLION in Sales: 3 Shifts Will Get You There (ft. Jeremy Miner),"Sep 23, 2025",3064,527,0:08:28,16.61,,,21,,,,,,10,0,20,0,100,12,1,527,74.4964,10,9825,3.54
7Z33FsdfyxQ,Increase your inputs #business #sales #salesman #salestips #money #work #books #passion,"Mar 17, 2026",34,520,0:00:15,44.45,34.3,,2,,,,,,1,0,22,2,91.67,0,1,1471,2.6183,1,234,2.14
cS4nSEtW6w0,Certainty Trumps Confidence,"Sep 19, 2025",32,519,0:00:13,41.7,35.45,,2,,,,,,0,0,4,1,80,0,0,1357,2.3401,0,321,4.05
zvqoZIsy7vA,"Choosing to win or to lose requires pain, but only one is temporary ￼#sales #salestips #business","Jun 1, 2026",36,514,0:00:13,37.3,39.39,,1110,,,,,,1,0,8,3,72.73,0,1,1209,2.2851,1,150,5.33
I-aGUzmKsjc,Slow down to speed up #sales #salestips #business #money #work #books #passion #salesman #deals,"Jun 7, 2026",43,513,0:00:17,40.38,53.11,,865,,,,,,0,0,8,4,66.67,0,0,968,2.7007,0,159,6.29
vMSo-piBUvs,Why I Quit Summer Sales #pestcontrol #d2d,"Dec 18, 2024",48,490,0:00:39,82.81,79.37,,286,,,,,,0,0,18,0,100,1,0,752,5.4529,0,2673,7.52
y1E44SeyxhY,Influence Instead of Manipulate,"Sep 8, 2025",40,487,0:00:16,40.95,47.93,,1,,,,,,0,0,21,1,95.45,4,0,988,2.4152,0,590,7.12
Xfgxp5nbsxo,Sell More W/ No Sales Training,"Jan 18, 2025",77,415,0:01:16,99.9,86.85,,46,,,,,,21,0,64,1,98.46,10,3,623,8.8915,21,3328,7.87
8RJRT4ztp7o,Success is unfair #business #money #sales #salestips #work #salesman #books #passion,"Apr 30, 2026",50,391,0:00:24,48.99,40.9,,845,,,,,,0,0,15,0,100,1,0,972,2.9218,0,355,2.82
mWz0hAsqjeo,Top 1% Expectations,"Sep 15, 2025",45,386,0:00:18,41.76,29.95,,2,,,,,,0,0,7,0,100,0,0,1164,2.3707,0,504,5.16
NBCaW_DkHwc,Goals are guess work you need a system #sales #salestips #business #money #work #passion #salesman,"Jun 6, 2026",34,383,0:00:15,45.47,29.08,,1145,,,,,,2,0,11,3,78.57,1,0,1264,2.0743,2,140,2.86
-3cKxaZXplE,How To Make $200k Commissions in 30 Days,"Oct 6, 2025",1090,348,0:05:58,32.88,,,33,,,,,,10,0,24,1,96,22,3,348,34.6451,10,3978,5.23
sNRLxqrsxyM,Sell at Highest level,"Sep 22, 2025",47,319,0:00:32,69.65,29.08,,2,,,,,,1,0,11,3,78.57,0,0,1018,3.2038,1,506,4.15
-4OGrTVpaXM,DREAM BIG 1,"Jan 9, 2026",15,319,0:00:09,65.61,37.35,,1,,,,,,0,0,10,1,90.91,0,0,892,1.1069,0,299,4.35
Zq9VoYj4mXg,You Need Systems + Accountability.,"Jan 9, 2026",24,306,0:00:13,56.16,27.47,,1,,,,,,4,0,21,1,95.45,1,1,1094,1.5538,4,234,3.85
_AElgJOGH30,NO One Likes SOLAR PANELS,"Nov 17, 2023",56,277,0:01:10,125.13,85.19,,41,,,,,,2,0,19,0,100,6,0,485,5.4063,2,2201,8.63
9TuhPIpyxTs,Its impossible to succeed if you are negative #business #sales #salesman #salestips  #work #money,"Mar 12, 2026",25,275,0:00:14,58.45,40.44,,5,,,,,,1,0,12,1,92.31,2,1,696,1.32,1,179,2.79
FMlvoENy--k,Having fun with prospects selling D2D 🤣,"Nov 14, 2024",64,267,0:00:59,93.32,89,,35,,,,,,1,0,17,0,100,0,0,464,4.44,1,1921,9.79
ItsoRcbKeKg,Prospecting is the fastest way to prosperity in sales.,"Feb 11, 2026",31,261,0:00:22,72.72,47.13,,10,,,,,,1,0,12,0,100,5,0,590,1.7754,1,333,8.41
SXVz3tnkGxg,How I Made $200k in One Month,"Feb 12, 2024",1243,246,0:07:15,35.05,,,23,,,,,,2,0,8,1,88.89,1,2,246,29.7734,2,1785,7
k2MxlOr5-zk,How To Set & Hit ANY Sales Goal (Guaranteed Success),"Dec 23, 2025",1134,246,0:05:48,30.71,,,38,,,,,,3,0,12,1,92.31,9,0,246,23.7979,3,3578,3.24
cujkwjnbZfg,Black Friday Craze,"Sep 3, 2025",45,235,0:00:17,39.87,39.5,,0,,,,,,0,0,11,0,100,0,0,574,1.3191,0,361,3.88
feNKIUiSFbw,The Real Secrets of the Top 1% of Salespeople (Podcast),"Apr 11, 2025",2640,229,0:09:25,21.42,,,42,,,,,,6,0,8,0,100,5,0,229,35.9677,6,2747,5.75
