Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
SkhasvJLYqo,Passive vs Active Income,"Feb 13, 2024",16,6,0:00:22,143.11,54.55,,1,,,,,,0,0,0,0,,0,0,16,0.0386,0,107,3.74
l7iFKUw-dfU,Who Are You Along The Way?,"Mar 11, 2024",22,6,0:00:09,44.81,83.33,,0,,,,,,0,0,1,0,100,0,0,7,0.0169,0,106,2.83
jw322PiOh3s,Nick & The Muscle Podcast,"Apr 11, 2025",3511,6,0:12:24,21.21,,,1,,,,,,0,0,0,0,,0,0,6,1.2409,0,742,0.81
bB6c9mNJp7k,You can't just BRO harder,"May 30, 2024",60,6,0:00:29,48.59,35.29,,0,,,,,,0,0,0,0,,0,0,9,0.0503,0,142,2.11
C_fG5dzprNU,Dont Major in Minor Things,"Nov 19, 2024",143,6,0:05:18,222.72,,,0,,,,,,0,0,0,0,,0,0,6,0.5308,0,395,0.76
831_U34gqWU,Golden Nuggets: Think & Grow Rich Book Summary #thinkandgrowrich #selfhelp #booksummary,"Dec 11, 2022",54,5,0:00:27,50.29,100,,1,,,,,,0,0,0,0,,0,0,6,0.0377,0,64,3.13
oqUWSGCQmUg,How to Make a Million Dollars Selling Door to Door #d2dsales,"Aug 11, 2023",55,5,0:00:41,75.22,100,,0,,,,,,0,0,0,0,,0,0,5,0.0575,0,73,1.37
BPb3uu7pywA,TOP SALESPEOPLE DO THIS,"Dec 19, 2023",26,5,0:00:12,47.21,50,,2,,,,,,0,0,0,0,,0,0,10,0.0196,0,97,2.06
Y4v6j5cFFVU,How to Stay Mentally Healthy,"Feb 29, 2024",37,5,0:00:30,82.58,100,,0,,,,,,0,0,0,0,,0,0,7,0.0424,0,110,0
ujC-8DQO6oE,Best Sales Training for 2023 (NOT What You Expect),"Jul 18, 2023",28,5,0:00:27,98.14,,,1,,,,,,0,0,0,0,,0,0,5,0.0382,0,251,1.59
w8JdJDEGijc,Unlock Your True Potential: Secrets to Success | Ep 36,"Dec 24, 2025",4145,5,0:00:21,0.53,,,0,,,,,,0,0,0,0,,0,0,5,0.0302,0,673,0.74
tnqGwhFheHQ,"It’s not about selling, it’s about teaching.","Jan 13, 2024",16,5,0:00:16,105.6,83.33,,0,,,,,,0,0,0,0,,0,0,9,0.0235,0,92,3.26
6ICYxNae-N8,What NOT To Do When Recruiting Salespeople,"Aug 9, 2023",46,5,0:00:39,85.71,,,0,,,,,,0,0,0,0,,0,0,5,0.0548,0,210,2.38
mBYUqud8Ne8,Are You A Good Dad?,"Feb 29, 2024",52,5,0:01:23,160.72,55.56,,0,,,,,,0,0,0,0,,0,0,14,0.1174,0,155,1.94
Yft2C3Ecp8c,Invest in YOU before investing in assets,"Sep 24, 2022",64,5,0:00:39,61.25,,,1,,,,,,0,0,0,0,,0,0,5,0.0544,0,157,3.18
qAyvqPxmoZU,Authenticity & Attraction: The #1 Secret to Recruiting & Building Teams w/ Mitch Mathews | Ep 35,"Dec 24, 2025",4209,5,0:00:13,0.31,,,0,,,,,,1,0,0,0,,0,0,5,0.0184,1,254,1.97
_GlEkTv7WUg,Be Humble & Work Harder,"Feb 14, 2024",41,5,0:00:18,45.99,71.43,,1,,,,,,0,0,0,0,,0,0,6,0.0264,0,126,1.59
Pn0aZqtEC7U,Summary & Application of Habit 2: 7 Habits of Highly Effective People by Steven R. Covey #7habits,"Jan 22, 2023",26,4,0:00:26,102.44,75,,1,,,,,,1,0,1,0,100,0,0,7,0.0301,1,206,1.46
S7r0krZIhnk,The Power of Proximity w/ Jimmy Rex | Ep 18,"Nov 19, 2024",3086,4,0:13:11,25.64,,,0,,,,,,0,0,0,0,,0,0,4,0.8791,0,358,0.28
soK3wWOO0fo,Its time to do some hard sh*t!,"Jan 19, 2024",26,4,0:00:21,82.12,80,,0,,,,,,0,0,0,0,,0,0,7,0.0239,0,98,0
0gvVBytN67g,Humility is a requirement,"May 31, 2024",15,4,0:00:06,44.84,19.05,,2,,,,,,0,0,0,0,,0,0,13,0.012,0,153,0.65
ca58TQJFKVA,How To Be A Sales Doctor,"Apr 3, 2024",40,4,0:00:15,37.69,17.65,,4,,,,,,0,0,1,0,100,0,0,16,0.0219,0,569,0.18
AWkQiXFDNGM,Don’t be DESPERATE,"Jan 20, 2024",18,4,0:00:18,101.41,66.67,,1,,,,,,0,0,1,0,100,0,0,9,0.0212,0,117,0.85
sSsE3OOCldw,How I Made $250k in 1 Month #salesmindset #entrepreneurmindset #solarsales,"Dec 27, 2022",21,4,0:00:33,157.56,100,,1,,,,,,0,0,1,0,100,0,0,9,0.0368,0,58,5.17
EjAlj6Hdiwk,What Is Your Big Breakthrough?,"Mar 12, 2024",54,4,0:00:40,74.55,57.14,,0,,,,,,0,0,0,0,,0,0,8,0.0452,0,132,1.52
LXSXn7sD_u4,How to Have It All w/ Kris Krohn | Ep 14,"Nov 19, 2024",1794,4,0:08:02,26.91,,,0,,,,,,0,0,0,0,,0,0,4,0.5365,0,312,0.64
CadQV3aSnHM,Psychological Secret Rich People NEVER Share #selfhelp #thinkandgrowrich #napoleonhill,"Dec 20, 2022",49,4,0:01:11,145.61,100,,0,,,,,,0,0,0,0,,0,0,8,0.0793,0,46,6.52
_mOlx8YKXhg,Where MOST Businesses Get It WRONG,"Dec 8, 2023",41,4,0:00:30,73.25,44.44,,2,,,,,,0,0,0,0,,0,0,9,0.0356,0,72,2.78
oItcuFi6qK0,Grateful for mentorship & brotherhood,"Jun 3, 2024",60,4,0:00:24,40.97,40,,0,,,,,,0,0,0,0,,0,0,9,0.029,0,149,0.67
FAyw5CxIDA4,How Much Would You Pay For Proximity?,"Mar 1, 2024",58,4,0:01:46,183.39,50,,1,,,,,,0,0,0,0,,0,0,14,0.1192,0,150,2
D0Ss_KTU940,Convincing ISN’T Selling!,"Apr 19, 2022",29,4,0:00:24,83.48,100,,0,,,,,,0,0,0,0,,0,0,6,0.0269,0,44,6.82
Hua9dmgXHdY,Selling Secret: NO means KNOW,"Mar 15, 2022",40,3,0:00:16,41.34,100,,1,,,,,,0,0,0,0,,0,0,3,0.0138,0,43,2.33
n0ClUAZlcgw,Weekly Planning Secrets for Salespeople  - How to Guarantee Your Success EVERY Week | Ep 21,"Nov 19, 2024",1635,3,0:09:18,34.16,,,0,,,,,,0,0,0,0,,0,0,3,0.4654,0,407,0.49
7QeUUfSLgCU,The #1 Attribute of Hyper Achievers #selfhelp #personaldevelopment #perspective #positivethinking,"Jan 20, 2023",34,3,0:00:21,63.08,66.67,,0,,,,,,0,0,0,0,,0,0,4,0.0188,0,36,5.56
vf7V38JMmPM,More Effort Is Always Required,"Mar 17, 2024",41,3,0:00:12,31.35,50,,0,,,,,,0,0,0,0,,0,0,5,0.0112,0,108,0
W9qJz1Y4-4g,From Divorce to Golden Door | Ep 12,"Nov 19, 2024",2995,3,0:01:19,2.66,,,0,,,,,,0,0,0,0,,0,0,3,0.0663,0,299,0.67
LdjQm_75aKg,Lead With Your Face!,"Mar 18, 2024",27,3,0:00:07,26.54,50,,0,,,,,,0,0,0,0,,0,0,7,0.0066,0,133,0
1_9-S4Ag208,How to Not Waste A Sale,"Mar 14, 2024",32,3,0:00:28,87.79,28.57,,0,,,,,,0,0,1,0,100,0,0,7,0.0245,0,110,0
Ow5zviCt7rc,Small Steps To Exponential Growth,"Mar 8, 2024",25,3,0:00:21,86.31,50,,0,,,,,,0,0,0,0,,0,0,6,0.0189,0,131,0.76
Q13kIAD7F8E,Pushing Past Burnout & Limiting Beliefs | Ep 13,"Nov 19, 2024",2215,3,0:00:28,1.29,,,0,,,,,,0,0,0,0,,0,0,3,0.0238,0,284,0.35
RB9Y9SXROgY,Don't Get Left Behind By Your Industry | Ep 16,"Nov 19, 2024",1730,2,0:00:12,0.72,,,0,,,,,,0,0,0,0,,0,0,2,0.0069,0,335,0.3
420APrwlpvg,The Higher Game of Sales: Faith Builds Fortunes w Jake Robles | Ep 42,"Dec 24, 2025",2609,2,0:08:29,19.54,,,0,,,,,,0,0,0,0,,0,0,2,0.2833,0,492,0
ROr5Sv4ot2U,How To Have A Long Term Brand,"Dec 16, 2023",61,2,0:00:41,67.41,,,0,,,,,,0,0,0,0,,0,0,2,0.0228,0,254,0.79
Vsqg0iu1SmU,One SIMPLE way to increase your prospects INTEREST LEVEL and sell more,"Mar 7, 2022",59,2,0:01:20,136.07,66.67,,0,,,,,,0,0,0,0,,0,0,5,0.0452,0,75,1.33
3UQSLdPqTnY,How much have you invested into yourself?,"Feb 26, 2024",26,2,0:00:15,61.44,40,,1,,,,,,0,0,0,0,,0,0,5,0.0095,0,95,2.11
92K3GVua3Ew,I Became SUCCESSFUL When I Did THIS,"Nov 5, 2023",50,2,0:00:26,52.33,33.33,,1,,,,,,0,0,0,0,,0,0,5,0.0156,0,58,0
Qcc7lUtGw8U,Know Your Product,"Feb 16, 2024",4,2,0:00:04,115.94,18.18,,2,,,,,,0,0,0,0,,0,0,10,0.0036,0,223,0.45
_b9DjDczAFE,You CHANGE After You Get MARRIED Or Have KIDS,"Nov 2, 2023",60,2,0:00:43,72.17,100,,0,,,,,,0,0,0,0,,0,0,2,0.0241,0,76,1.32
8wLD2-oBGlA,Does Your Partner Push You?,"Feb 20, 2024",4,2,0:00:11,291.41,25,,0,,,,,,0,0,0,0,,0,0,11,0.0083,0,144,0
RNOJhWsUNTw,The Fastest Way to Sell More (and it’s NOT Sales Training) #salestraining,"Jul 21, 2023",36,2,0:00:32,90.45,100,,0,,,,,,0,0,0,0,,0,0,2,0.0181,0,51,3.92
QYiARRqNBQY,Kris Krohn is the Real Deal #kriskrohn #mentorship,"Dec 14, 2022",30,2,0:00:31,104.27,66.67,,0,,,,,,0,0,0,0,,0,0,5,0.0179,0,88,2.27
X6Gf0VSstec,The ONE Great Secret to Sales Success,"Mar 21, 2022",38,2,0:00:32,86.09,100,,0,,,,,,0,0,0,0,,0,0,2,0.0182,0,79,2.53
WUzAcLEJuuk,Show Don’t Tell - Sales Training,"Aug 2, 2023",46,1,0:01:36,209.04,50,,1,,,,,,0,0,0,0,,0,0,3,0.0267,0,55,1.82
mhbUKMCTy0I,This is why there is such a huge stigma around salespeople #carsalesman #pushysalesman,"Jul 15, 2023",35,1,0:00:26,74.99,100,,0,,,,,,0,0,0,0,,0,0,1,0.0073,0,45,0
aw0HP14VoGQ,Habit 3 & Time Management: Golden Nugget from best selling book: 7 Habits #7habits #selfhelptips,"Jan 21, 2023",43,1,0:00:00,1.28,,,0,,,,,,0,0,0,0,,0,0,1,0.0002,0,56,0
IAYw-MoRurQ,Who is your super power?,"Jan 18, 2024",40,1,0:00:09,23.88,33.33,,0,,,,,,0,0,0,0,,0,0,2,0.0035,0,96,0
wtnLczRuESk,How You Can Get Into Sales / Entrepreneurship with ZERO RISK #quitthe9to5,"Jul 17, 2023",33,1,0:00:30,93,,,0,,,,,,0,0,0,0,,0,0,1,0.0085,0,55,1.82
UHXUyMN7xOg,How to Sell Without Being Pushy #entrepreneur #salestraining #salestips,"Sep 28, 2022",61,1,0:00:44,73.02,100,,0,,,,,,0,0,0,0,,0,0,1,0.0124,0,33,0
lNIMXKOixhE,What is YOUR hedgehog?#goodtogreat #jimcollins #selfhelpbooks #careeradvice #booksummary,"Jan 24, 2023",52,1,0:01:01,118.65,100,,0,,,,,,0,0,0,0,,0,0,2,0.0171,0,75,1.33
GjUSIUZHQa0,Success has a stigma,"Jun 5, 2024",27,1,0:00:04,18.19,10,,0,,,,,,0,0,0,0,,0,0,8,0.0064,0,150,0.67
QyM-liPpJCg,Making My First Million: What I Learned. #firstmillion #salestips #careeradvice #makemoremoney,"Jan 31, 2023",42,1,0:00:41,97.67,,,0,,,,,,0,0,0,0,,0,0,1,0.0114,0,45,0
L717WDrLRFg,CONTROL FREAKS Sell More,"Mar 21, 2022",35,1,0:00:11,33.46,100,,0,,,,,,0,0,0,0,,0,0,1,0.0033,0,102,0.98
OMlbphQ3024,How to Find Motivation to Sell More,"Mar 21, 2022",20,1,0:00:06,30.5,33.33,,0,,,,,,0,0,0,0,,0,0,2,0.0023,0,34,0
q7mWmCRBkpk,Supportive Partners,"Feb 19, 2024",18,1,0:00:06,36.64,50,,0,,,,,,0,0,0,0,,0,0,1,0.0018,0,90,0
R6LSrebImlo,Recruiting Better Salespeople #salesrecruiting,"Aug 9, 2023",46,1,0:00:31,68.81,,,0,,,,,,0,0,0,0,,0,0,1,0.0088,0,58,0
NEmowaO7aPU,Salespeople NEED to HEAR This! #salesman #saleswoman,"Dec 17, 2022",20,1,0:00:15,76.25,100,,0,,,,,,0,0,0,0,,0,0,1,0.0042,0,152,0.66
yEn6hSK9qR0,How to Live Up to Your Fulfillment,"Mar 6, 2024",34,1,0:02:14,394.37,25,,0,,,,,,0,0,0,0,,0,0,6,0.0383,0,108,0
dJ2p3WFRhIY,MATERIALISTIC Things Do NOT Matter,"Nov 4, 2023",55,1,0:00:09,16.73,33.33,,1,,,,,,0,0,0,0,,0,0,3,0.0031,0,100,0
T_xLwj2uTwQ,The Millionaire Next Door: Budget Budget Budget #millionairenextdoor #selfhelpbooks,"Jan 13, 2023",34,1,0:00:33,99.06,0,,0,,,,,,0,0,0,0,,0,0,2,0.0099,0,43,2.33
tW9XqYWyADc,The Word to Never Say When Selling,"Mar 23, 2022",29,1,0:00:04,16.41,50,,0,,,,,,0,0,0,0,,0,0,2,0.0024,0,42,2.38
2HlfHeJzG9I,Good to Great Book Summary Spark Notes #sparknotes #booksummary #entrepreneurship #businessbook,"Sep 28, 2022",50,1,0:00:08,17.49,50,,0,,,,,,0,0,0,0,,0,0,2,0.0033,0,253,0.4
4t-eG_H3D94,Never Say This When Negotiating #salestips #salestraining #negotiating #businesstips,"Jan 15, 2023",54,1,0:00:16,30.93,100,,0,,,,,,0,0,-1,0,100,0,0,2,0.0046,0,34,0
Bx51CFrWjQ8,Self Development,"Feb 15, 2024",58,0,,,0,,0,,,,,,0,0,-1,0,100,0,0,1,0.0003,0,85,0
rTtzM6AjtcA,The first job for 5 different BILLIONAIRES #firstjobtips #firstjob #sidehustle,"Jan 10, 2023",59,0,,,0,,0,,,,,,0,0,0,0,,0,0,1,0.0003,0,34,0
3Qhr6Bmb44A,How Your PERSPECTIVE Determines Your INCOME in Sales,"Mar 8, 2022",35,0,,,0,,0,,,,,,0,0,0,0,,0,0,1,0.0003,0,38,0
5P70IsZsO4o,Do This One Thing to Double Your Sales!,"Apr 6, 2022",41,0,,,0,,0,,,,,,0,0,0,0,,0,0,1,0.0005,0,29,0
XahFt0eJYHc,The Best Sales Training I’ve EVER Had Was NOT Actual “Sales Training” #solarsales #d2dsales,"Jul 18, 2023",28,,,,,,0,,,,,,,,,,,,,,,,39,0
eRvv57nHKjA,3 Secrets of All Top 1% of Salespeople,"Jan 9, 2023",60,,,,,,0,,,,,,,,,,,,,,,,51,0
YUbg6WVG8As,The “Miracle Morning” Routine in 60 Seconds #Booksummary #morningroutine #selfhelpbooks,"Dec 29, 2022",61,,,,,,0,,,,,,,,,,,,,,,,29,0
NVrghr3z7J8,Nobody Takes You Serious on Android 🤷🏻‍♂️,"Oct 1, 2022",44,,,,,,0,,,,,,,,,,,,,,,,26,0
pUQQZmdmf_s,How to convince any prospect to buy anything you sell,"Aug 14, 2023",54,,,,,,0,,,,,,,,,,,,,,,,37,0
WwHR2Q4ytPw,Atomic Habits: The Overnight Success Secret,"Nov 26, 2022",59,,,,,,0,,,,,,,,,,,,,,,,28,0
KE3hcMpqAbw,The Science behind Sales Org Success,"May 17, 2023",43,,,,,,0,,,,,,,,,,,,,,,,176,0
IcqUzpUKR5w,Sell YOURSELF not your SOUL,"May 24, 2023",23,,,,,,0,,,,,,,,,,,,,,,,194,0
Icjd3jcKjsA,Golden Nugget from Best Selling Book: Atomic Habits #selfhelp #jamesclear,"Dec 11, 2022",61,,,,,,0,,,,,,,,,,,,,,,,36,0
Nb95vReIXjc,Atomic Habits Golden Nugget: Science Proves You Change Your Habits in Less Than 21 Days #selfhelp,"Dec 21, 2022",61,,,,,,0,,,,,,,,,,,,,,,,53,0
FI9YztdIKrg,Atomic Habits Summary Story,"Nov 26, 2022",52,,,,,,0,,,,,,,,,,,,,,,,21,0
sHYzzHLeZV8,I Can’t Believe This Actually Happened… #Manifestation is Real 😳 #positivethinking,"Dec 22, 2022",35,,,,,,0,,,,,,,,,,,,,,,,32,0
HIiw1Fwssac,2 GAME CHANGERS for Your Team/Company: Good to Great (Book Summary) #selfhelp #jimcollins,"Jan 9, 2023",45,,,,,,0,,,,,,,,,,,,,,,,83,0
hcwBbLOJ0lM,Do THIS Instead or To-Do Lists #productivityhack,"May 12, 2023",45,,,,,,0,,,,,,,,,,,,,,,,64,0
fF49r8Lvx7U,How to Start out as an Entrepreneur #intrapreneur #beyourownboss,"Dec 9, 2022",57,,,,,,0,,,,,,,,,,,,,,,,41,0
